"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"FPS","CAN","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","CHN","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3803623,130.0800398,221.1594923,312.3811167,403.3253766,404.4663337,404.9519871,404.9543887,404.6206264,406.7490677
"FPS","CSA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","EEU","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","EURA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","GCC","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","IND","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","IDN","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","JPN","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","MENA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","RUS","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","SA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","ZAF","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","SEAO","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","KOR","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","SSA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","GBR","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
